MarkerName	Allele1	Allele2	Freq1	FreqSE	Effect	StdErr	P-value	Direction	HetISq	HetChiSq	HetDf	HetPVal	N
suptemp	a	t	0.3283	0.0359	0.4403	0.2403	0.06693	-+	65.0	2.859	1	0.09087	226
subnigra	a	t	0.3268	0.0351	0.3248	0.2391	0.1744	-+	88.7	8.829	1	0.002965	226
CTE	a	t	0.3125	0.0219	0.0177	0.3067	0.954	-+	0.0	0.304	1	0.5816	226
amygdala	a	t	0.3269	0.0351	0.6387	0.2544	0.01207	-+	82.6	5.740	1	0.01658	226
inforbfront	a	t	0.3284	0.0359	0.3869	0.2409	0.1083	-+	77.8	4.502	1	0.03386	226
infpar	a	t	0.3291	0.0363	0.4402	0.2429	0.0699	-+	56.5	2.301	1	0.1293	226
midfront	a	t	0.3256	0.0344	0.3554	0.2476	0.1512	-+	65.0	2.858	1	0.09091	226
DementiaHx	a	t	0.3260	0.0290	0.8457	0.3727	0.02325	++	0.0	0.851	1	0.3564	220
CTEstage	a	t	0.3258	0.0354	0.0414	0.2422	0.8642	-+	1.6	1.016	1	0.3134	225
loccoer	a	t	0.3245	0.0337	-0.1143	0.2499	0.6474	--	0.0	0.302	1	0.5825	226
AT8PositiveTissue.log	a	t	0.3340	0.0382	0.4217	0.2927	0.1497	++	0.0	0.440	1	0.5073	226
CA1	a	t	0.3275	0.0355	0.4241	0.2420	0.07969	-+	67.6	3.091	1	0.07874	226
CA2	a	t	0.3285	0.0360	0.2999	0.2493	0.229	-+	84.4	6.423	1	0.01127	226
CA4	a	t	0.3314	0.0372	0.4620	0.2421	0.05639	-+	77.9	4.526	1	0.03338	226
entorhinal	a	t	0.3272	0.0353	0.5907	0.2572	0.02167	-+	85.6	6.930	1	0.008476	226
