Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	A1	A2
Euro	1	CTE	H1B1G1	0.346	312	-0.007	0.193	0.970697610624666	A	T
Euro	1	DementiaHx	H1B1G1	0.347	294	0.383	0.255	0.134129410416098	A	T
Euro	1	amygdala	H1B1G1	0.346	312	0.286	0.172	0.0976073939687367	A	T
Euro	1	CA1	H1B1G1	0.346	312	0.131	0.169	0.438152567411951	A	T
Euro	1	CA2	H1B1G1	0.346	312	0.295	0.174	0.0918091681057027	A	T
Euro	1	CA4	H1B1G1	0.346	312	0.409	0.177	0.0218235939176128	A	T
Euro	1	entorhinal	H1B1G1	0.346	312	0.313	0.171	0.0683898428025331	A	T
Euro	1	inforbfront	H1B1G1	0.346	312	0.292	0.17	0.0861715380659283	A	T
Euro	1	infpar	H1B1G1	0.346	312	0.161	0.171	0.347959530396942	A	T
Euro	1	loccoer	H1B1G1	0.346	312	0.142	0.171	0.406168523067447	A	T
Euro	1	midfront	H1B1G1	0.346	312	0.085	0.169	0.617092498191271	A	T
Euro	1	suptemp	H1B1G1	0.346	312	0.179	0.169	0.291884568530519	A	T
Euro	1	CTEstage	H1B1G1	0.346	311	0.082	0.171	0.631244972476834	A	T
Euro	1	subnigra	H1B1G1	0.346	312	0.203	0.167	0.223973131550445	A	T
Euro	1	AT8PositiveTissue.log	H1B1G1	0.346	312	0.021	0.213	0.923275635020713	A	T
