Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	A1	A2
Euro	1	CTE	H1B1G1	0.386	66	-0.55	1.075	0.61096447705717	A	T
Euro	1	DementiaHx	H1B1G1	0.386	66	0.135	0.856	0.87539643851755	A	T
Euro	1	amygdala	H1B1G1	0.386	66	-0.387	0.498	0.440753632418871	A	T
Euro	1	CA1	H1B1G1	0.386	66	-0.278	0.467	0.553881786890696	A	T
Euro	1	CA2	H1B1G1	0.386	66	-0.71	0.47	0.137582755764991	A	T
Euro	1	CA4	H1B1G1	0.386	66	-0.294	0.43	0.497237065036361	A	T
Euro	1	entorhinal	H1B1G1	0.386	66	-0.538	0.5	0.287109295453444	A	T
Euro	1	inforbfront	H1B1G1	0.386	66	-0.432	0.455	0.346780004845948	A	T
Euro	1	infpar	H1B1G1	0.386	66	-0.138	0.452	0.760822371120688	A	T
Euro	1	loccoer	H1B1G1	0.386	66	-0.365	0.52	0.486643951245646	A	T
Euro	1	midfront	H1B1G1	0.386	66	-0.379	0.5	0.452217301633074	A	T
Euro	1	suptemp	H1B1G1	0.386	66	-0.213	0.455	0.641885801395287	A	T
Euro	1	CTEstage	H1B1G1	0.386	66	-0.374	0.478	0.437424059736794	A	T
Euro	1	subnigra	H1B1G1	0.386	66	-0.874	0.469	0.0681900813171334	A	T
Euro	1	AT8PositiveTissue.log	H1B1G1	0.386	66	0.157	0.495	0.752054705554579	A	T
